trader,n_observations,n_valid_returns,date_span_days,activity_rate,avg_equity,final_pnl,max_gap_days,median_gap_days,total_return,ann_return,sharpe,sortino,calmar,win_rate,profit_factor,max_drawdown,volatility,daily_vol,var_5pct,cvar_5pct,tail_ratio,worst_day,best_day,return_autocorr,skewness,kurtosis,sharpe_stability
0x9803e982c4eb6d9b9e416966814e7f9fa4363bce,65,64,64,1.0,24271.527106353846,6845.054277,1,1.0,1.6831324615009102,277.3553378012495,4.219512294359854,8.60413259121667,2846.761043359775,0.546875,1.8850842867708324,-0.09742838741179063,0.5458049434271199,0.028568736445775282,-0.03214037842496874,-0.03986970110919463,1.711918376006698,-0.05451435992792991,0.12588407913948396,-0.010531391823150077,1.1526711463783375,3.7896118072196963,0.18450069065151253
0x984de65b9f9499dfb166889f0e9e15f6d779a1a7,2,1,112,0.017699115044247787,15017.323101,18.323101,112,112.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0
0x9859d1542cbe5e17f3fd30501e900a7054e293e1,173,172,178,0.9664804469273743,107486.14596498843,139089.317949,6,1.0,0.34851172892631394,0.8461846886634716,2.342206237383648,4.1821471897782905,1.4285771283969815,0.5406976744186046,1.4098732736467423,-0.5923269187523551,1.878015291308913,0.09829981304613142,-0.11672859899316122,-0.1821714980464012,1.7564149296340807,-0.2598002182225646,0.41053647178229963,-0.031441177586982005,0.5661971735412685,1.6230937735251634,0.20992049441578065
0x988caf2d1aa1ffc52c666f67d9a3e13a72ba6e04,99,98,103,0.9519230769230769,678370.325463717,425722.696498,6,1.0,3.61959792741932,225.54304167364126,3.0799740012908776,8.640858412055085,1265.860990421903,0.5204081632653061,1.8118849890682174,-0.17817362520861732,1.6226611240583677,0.08493396505892763,-0.06951263900533818,-0.09708831707947232,1.5476844947834778,-0.1323994784480016,0.6628489751648687,0.10838782187773828,4.669292888840081,34.87473326664629,0.15512106900633219
0x98af32a3cc76d02a8a0d5709f6c38d77a767015d,177,176,176,1.0,1986.6648509096042,329.502407,1,1.0,0.19312759419071998,0.4422420463220489,0.6261147244894342,0.7562332177087256,0.9222918091005897,0.2897727272727273,1.1535955795202069,-0.4795033870606735,0.9888852144496234,0.05176061779386866,-0.04085254116301643,-0.12193270136300925,1.7923005800887313,-0.20971825553336607,0.25134376090247734,-0.003724365226731046,0.9460314079114428,9.833331026581362,0.25120444131370034
0x98be9d68c5934dd7667eea4427f2958d9cff1bee,35,34,34,1.0,5533.182321771428,8.420812,1,1.0,0.0022172594315234247,0.024061499005888054,3.2444326429382286,67.38708068768317,145.76675520632028,0.5882352941176471,8.376516710054284,-0.0001650684957062471,0.007336703645745006,0.0003840206201137773,-4.0335063353999793e-05,-5.173481196114405e-05,1.067972474402764,-6.246406771079134e-05,0.0022341903434442566,0.27968670847045846,5.793571497799184,33.70183425179049,0.20679036804012585
0x98c40917c68a955a7102e667de9bd39677307b2c,160,159,178,0.8938547486033519,19948.651610168752,27660.408292,14,1.0,-0.6100191038390264,-0.8549862839905122,-0.9134164625979421,-0.6975216025197208,-1.2534732124913415,0.22641509433962265,0.8017253489701786,-0.6820937818776228,0.7308821133785415,0.03825611827356215,-0.04767937759289205,-0.1105981139397512,0.9918192732918446,-0.22697038753299043,0.1449318678224441,-0.4084048115470515,-1.4514913741942148,12.514384699906714,0.1288278678076144
0x98cec79d24bd44bc8452f0339da697d7992e4a15,127,93,159,0.79375,3758.9770059212597,27586.975501,21,1.0,0.0,0.0,1.2666670661740396,3.975218363892633,0.0,0.4731182795698925,1.6574727494607595,-0.7799768666454295,3.78605865395293,0.19817136718086673,-0.06855400541355205,-0.18414942106298343,1.3440261736738282,-0.37633971182222287,1.8105442488145793,0.08251068328749732,8.18026814965959,75.62296609084022,0.22750853585921885
0x98d5c0b380e528ae8f1d5d75d0734622d9a2e930,179,178,178,1.0,31951.867966770948,23119.026219,1,1.0,4.8246577990903265,36.08807383934566,1.3637309985895345,2.732329510559715,85.66199679558719,0.48314606741573035,1.2207153086702065,-0.4212845274370806,2.010796935198024,0.10524992193537294,-0.13360031011862858,-0.17922226748759082,1.399492194590425,-0.30686123156073486,0.5462299495344193,-0.02464392145855803,1.1174262079598896,4.008457900865384,0.11933479547946846
0x98f4cb6e8187f2ce3939eda8302f3b47d673b0f3,109,106,131,0.8257575757575758,12844.652406522933,6219.01174,24,1.0,0.0,0.0,3.6927209097610474,3.7753008607836933,0.0,0.27358490566037735,2.4296074852508207,-0.24159006648535655,0.9044291539181849,0.047339985544880454,-0.03396638018237888,-0.08292455286758882,2.9468943658893845,-0.17253549274561455,0.22708654551713128,-0.001157610557763846,1.083092847538409,7.369935148140462,0.13539711923120323
0x996308930afd7d6cfbbbb09582c6ec4bf0aafec7,20,19,19,1.0,9722.200485100004,3914.558674,1,1.0,0.666920146335718,18326.364552874147,4.71721855388112,1039.0126451454348,3287886.9185966486,0.5789473684210527,115.72852700291556,-0.005573903545532001,2.607807902791928,0.13649890418411098,-0.0024401842854674546,-0.0032289569239674744,40.53549959177587,-0.0032289569239674744,0.5958362463404512,0.9910136896509546,4.3208682998431955,18.75593269035122,10.0
0x996a189d8111a11e33ce2d37af415da0d608cdae,179,178,178,1.0,476798.6488885363,178096.418848,1,1.0,-0.24918815513708573,-0.44439152664223236,-1.1380319550732718,-0.8839936271206824,-1.3149757549627732,0.17415730337078653,0.7250672936522142,-0.3379465552616314,0.3379532481641128,0.017689281480616388,-0.024725570306191675,-0.05091444891283913,0.6383676854764,-0.10209104682898928,0.11382703162882103,0.005480295765799735,0.2474977332130632,18.251476073985327,0.26126993780692953
0x99967871e6c4f9a5185abc57edede9e9540191f6,47,13,156,0.29936305732484075,54645.13787446807,19188193.749035,111,1.0,0.0,0.0,6.015673060801203,56.367285248223695,0.0,0.15384615384615385,7.186608534549145,-0.8246067905414094,57.36955206835403,3.002859598086138,-0.7843570908130988,-0.99,8.372713780516413,-0.99,10.0,-0.13941039805436314,2.761059450970251,7.729878282789485,10.0
0x99b1098d9d50aa076f78bd26ab22e6abd3710729,122,121,121,1.0,2573396.969622196,13013758.123943,1,1.0,5401.080713745101,181709833591.5746,0.6610170884019971,1.0493531983827187,277344791561.13916,0.49586776859504134,1.096769762707495,-0.6551766577939057,5.469049026431005,0.2862631094252706,-0.40332815251302856,-0.5773193419526856,1.1821062950766448,-0.99,0.7688744974652292,0.08669221810728464,-0.0014698436086962323,0.804452557036071,0.2730702227667681
0x99bfe8e92dcd439ec785c8d809ee2b4c929734c3,173,172,178,0.9664804469273743,1191516.9632661387,811960.779317,7,1.0,0.2398146925703371,0.5539385614602788,1.7419692709616583,4.429444273812562,1.1629425790738923,0.37790697674418605,1.3682105019323667,-0.47632494624232175,0.830241724597616,0.043456838018694814,-0.03737345213612546,-0.06099271266415377,2.3469109550559524,-0.09127096538799243,0.2743894263067398,0.012269294085710392,2.575695525072483,11.160297357005287,0.26689719993667665
0x99c05693defed7a1afd0ce009738d581765c59ef,80,43,114,0.6956521739130435,17226.9026776,598.311232,27,1.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0
0x9a1f196ed7d537ca8ebabf0816e2f87e28ee52fa,147,146,178,0.8212290502793296,11190.471519911567,13114.344066,15,1.0,0.8622119407489997,2.578585280473504,1.92158276259824,2.2769906413863747,4.157793733715138,0.18493150684931506,1.758698608136101,-0.6201811454868505,1.912421636810109,0.10010072347855443,-0.08390616800623277,-0.1795875426101858,1.60784873915451,-0.3065152753788083,0.5549690539736503,0.0717895750464766,2.6981199715381385,14.253011510799556,0.19150605088798606
0x9a377ec81c1bd51d31170bf8d7a7b6c5fbaded9b,177,176,178,0.9888268156424581,172643.2016173955,387656.348444,3,1.0,-0.147508270881158,-0.27909851702514976,3.1021590008308464,6.04800684730576,-0.4411546781102243,0.5284090909090909,1.5667540498516384,-0.6326545560408086,1.540245444350111,0.08062013122334419,-0.10175133796060415,-0.13323019196024474,1.4666815011734673,-0.18700647848343446,0.4021673051802932,0.010279257256077421,0.9026619436862201,2.9277223862977633,0.1828657678124051
0x9a4cdba56446a4429d23be738e651e1c24032d6f,173,172,178,0.9664804469273743,19109.68805179191,7254.217882,6,1.0,0.44044973093205747,1.113538497618776,1.3970223658361558,2.09886444829134,1.9121141435935693,0.5348837209302325,1.3072831039284671,-0.5823598456973,2.149810816922591,0.11252624106204943,-0.15231643281084153,-0.233262942926985,1.5059036090130058,-0.35505033933158264,0.5383290210427548,0.05390655374417586,1.246071324969431,6.031655708022823,0.22935538561937985
