trader,tier,cluster,cluster_label,weight,dollar_allocation,sharpe,sortino,max_drawdown,win_rate,composite_score
0xb4ab53a1392816ac685be2f60d6e807dea91d207,satellite,1,pos_skew,0.0006241783750778983,62.41783750778983,1.763637486610147,2.572535073518965,-0.20526369920002963,0.5605095541401274,0.45700934579439245
0xb4d96c7387a45fa2cb170fa1436a86640ab00eb1,satellite,0,high_vol_pos_skew,1.9774015394910875e-05,1.9774015394910875,1.8404207245101412,5.0538872322798145,-0.13039320747190578,0.4591194968553459,0.444392523364486
0xb58216005588bc45bd342a2525d52e05c69d13ac,core,1,pos_skew,0.012590970691075372,1259.0970691075372,6.6633904810669105,21.619571457882742,-0.00950976813592465,0.43636363636363634,0.8296728971962616
0xb743650b4f77bc022e0f5cd7dd7b742d791c521c,satellite,1,pos_skew,6.204447326207274e-05,6.204447326207274,2.1008615108409394,5.06560569933282,-0.07867915111558213,0.55,0.6182242990654206
0xb854f7f40f0f3e1801fb6d8828b6f6dd97ebf33b,satellite,0,high_vol_pos_skew,0.01734730872890608,1734.730872890608,2.2181194289284907,3.5960351045384975,-0.25626545116203553,0.398876404494382,0.45046728971962613
0xb8c104b71db6b86e581c0f65fd80672e3e653b20,satellite,1,pos_skew,0.0008916833929684261,89.16833929684262,2.264134228576466,3.8364861352156256,-0.2603930152565135,0.47540983606557374,0.40093457943925237
0xba939edf38c0ae0cc689c98b492e0535f43e4550,satellite,1,pos_skew,0.0003058474037881701,30.58474037881701,1.6678671621947603,1.7601203449289506,-0.1930260269711719,0.5433526011560693,0.36635514018691584
0xbb475febf78b528f4f0d4ae1a12541406565199c,satellite,1,pos_skew,0.0037138000540126053,371.3800054012605,2.324718573635042,4.577406786935097,-0.34169663132420564,0.5290697674418605,0.4651869158878505
0xbcf828248672d3cdd7e8e375388f05c6be0ae47c,satellite,1,pos_skew,0.0018197620264661762,181.97620264661762,2.3793985673076072,3.97412120300431,-0.1631900715118322,0.35294117647058826,0.5577102803738319
0xbd03ac5d302b76deb5820117ebfbb1600c718a47,core,1,pos_skew,0.005305428648589437,530.5428648589437,3.4663124441270967,6.3156691119907284,-0.20201986810475128,0.6164383561643836,0.7228971962616823
0xbde7d5dc6eeae1b0cac8d10edb030b2a274fa3dc,satellite,1,pos_skew,0.005305428648589437,530.5428648589437,2.808998215574381,4.3307172994870635,-0.45426250321529976,0.39090909090909093,0.5432242990654206
0xc1fd39727cd10fe97ccac228888f025309560a93,satellite,1,pos_skew,0.005305428648589437,530.5428648589437,2.4461183560231636,3.2044258075946863,-0.4963462580741615,0.5057471264367817,0.4768691588785046
0xc2d25de009756d3e2ff8a69fd68a02dd7679a8a2,satellite,2,high_wr_erratic_pos_skew,0.01734730872890608,1734.730872890608,1.8927752562958593,2.2575306749151736,-0.3150208238888533,0.5955056179775281,0.413785046728972
0xc3fee428d420118633661b813f01e32ba165a9ff,satellite,1,pos_skew,0.0003058474037881701,30.58474037881701,2.2643463337011402,2.849771772516168,-0.4400863845446098,0.45517241379310347,0.42990654205607476
0xcd6cd380329759474d36c2fbc7b9a13177f38bd9,satellite,1,pos_skew,5.140377315467774e-05,5.140377315467774,2.104033754806002,4.663743271483922,-0.48674761113969195,0.5581395348837209,0.544626168224299
0xd09fa948296e54d1ab73a0497c16403a08a84732,core,1,pos_skew,0.005305428648589437,530.5428648589437,4.011029831842877,15.71489215537579,-0.27062090758389945,0.46835443037974683,0.8268691588785049
0xd68ea1233b1256ba9dd6a28395c00368273d3366,satellite,1,pos_skew,0.005305428648589437,530.5428648589437,2.1166905855180618,3.268978770216044,-0.27206499775622733,0.5535714285714286,0.372196261682243
0xd7906ff6eec3c00a66e04b17271d59e0cf31662c,satellite,1,pos_skew,1.763149419205446e-05,1.763149419205446,2.059705140264558,3.754949088689686,-0.4088711589199965,0.5058139534883721,0.386214953271028
0xd7dee6aa08a0abf95e8631645e1cb6bb923934ed,core,1,pos_skew,0.008340900643697486,834.0900643697486,6.1974341005556886,12.16911738684635,-0.043824533832447554,0.47619047619047616,0.8266355140186916
0xd96a3304ea0fb4b6bee6ad555e874802dcd1ddcc,core,2,high_wr_erratic_pos_skew,0.01734730872890608,1734.730872890608,5.34003916483165,12.302143969572231,-0.24770302156533835,0.6233766233766234,0.875
0xdb7cc6edcad37adbe3149948b17bf4b492a16a38,satellite,0,high_vol_pos_skew,0.00016807635759684216,16.807635759684217,1.8665395060272485,5.781943564153279,-0.33334102731036763,0.5232558139534884,0.5411214953271027
0xdc0ff96c1ddbad424478ef10a4c71cd64c76e688,satellite,2,high_wr_erratic_pos_skew,0.00016807635759684216,16.807635759684217,2.209418494026244,3.392615529285329,-0.19272750804199928,0.6271186440677966,0.5102803738317757
0xdeb2bc7fb294b11152ee88165079485e27efb8ff,satellite,1,pos_skew,7.343396164953962e-05,7.343396164953962,1.722406909238867,2.877744335779071,-0.1535044515006406,0.5308641975308642,0.3766355140186916
0xe225cc851fe119e684a28d82a06cc4bb7a2c7c59,satellite,1,pos_skew,0.00021409318265171905,21.409318265171905,2.354305927899476,4.223048209281217,-0.14892615487391944,0.5228758169934641,0.4990654205607477
0xe377e2f11c745c294ad65686635217ec765059f2,satellite,1,pos_skew,0.005305428648589437,530.5428648589437,2.7166818261783576,3.641207433360953,-0.06395543926436331,0.5241935483870968,0.5046728971962617
0xe3b3482482899b4890ec5a2093cba2a558d0c14f,satellite,2,high_wr_erratic_pos_skew,0.004165088825810349,416.50888258103487,3.265416148750627,6.792119128868439,-0.476522086933249,0.6067415730337079,0.5922897196261683
0xe65c360b28bd3da42d9a07d97f500d8d480e8428,satellite,1,pos_skew,0.0003058474037881701,30.58474037881701,2.6286416938717085,3.6266104299289927,-0.17872087425231536,0.4805194805194805,0.5
0xe67f141977da22e5c34d15c19b35f180a1532715,satellite,1,pos_skew,0.005305428648589437,530.5428648589437,2.2280414013384813,3.116824058320829,-0.3905871466059824,0.5786516853932584,0.5268691588785046
0xe8681168f59af16c60c805dab7842eb75f127879,satellite,2,high_wr_erratic_pos_skew,0.008500181277163978,850.0181277163979,2.5796868351238156,1.7889531559278162,-0.3856807841208609,0.7209302325581395,0.5672897196261683
