trader,n_observations,n_valid_returns,date_span_days,activity_rate,avg_equity,final_pnl,max_gap_days,median_gap_days,total_return,ann_return,sharpe,sortino,calmar,win_rate,profit_factor,max_drawdown,volatility,daily_vol,var_5pct,cvar_5pct,tail_ratio,worst_day,best_day,return_autocorr,skewness,kurtosis,sharpe_stability,composite_score,cluster,pca_1,pca_2,cluster_label,tier
0x6049ddfd35e4d9098a6367e36023f2a36792b642,179,178,178,1.0,92356.84041848606,73597.898282,1,1.0,0.15609918290492697,0.3464038155091784,4.310452065943132,1.1893999732301517,0.6995561367209965,0.46629213483146065,4.212438740344449,-0.49517658029970857,0.10790655157268221,0.005648087049735652,0.0,-0.0007432575194864796,5.0,-0.05294435557067122,0.030395171784898638,-0.025598295341423705,-3.664480223110589,52.896927139547245,0.28078547646807994,0.5210280373831776,1,-1.0506209950282375,0.5849926941047675,pos_skew,satellite
0x64d0c26f561c1a653a2fe48337e9970275564d45,176,175,178,0.9832402234636871,77840.98835386363,83594.776765,4,1.0,0.5141289168950106,1.341181400378796,1.5182516721119947,2.5428195936511653,4.349590470227789,0.5028571428571429,1.3105500104758416,-0.30834659252611385,0.7537340791859778,0.039452244831744726,-0.05591331433668834,-0.07297329748511007,1.100142223115402,-0.10965980391721769,0.2192365672564665,-0.10346651314782979,1.7659580995314412,8.776740347218,0.25467524917225637,0.23901869158878503,1,-0.8162147485406531,0.3595607809795421,pos_skew,watch
0x66e541024ca4c50b8f6c0934b8947c487d211661,173,172,178,0.9664804469273743,130950.48011780347,128975.48997,6,1.0,3.701839032031934,22.90708249856808,2.855360919529593,5.628684725462378,63.72791660937753,0.6104651162790697,2.0253790485091097,-0.3594513004242369,1.0509443152810234,0.05500893959282796,-0.047774726774062505,-0.08010330060667355,1.4722621472755606,-0.1325825891825125,0.5616422401384268,0.12282812610644549,6.040979369540016,60.283935842027425,0.23858400282589687,0.6343457943925235,2,1.1878122293433346,1.8887963004717134,high_wr_erratic_pos_skew,core
0x676751fe55f734245651fb781908befff96eed8f,179,178,178,1.0,6671.766570988827,4489.317329,1,1.0,1.2500772370848985,4.2747585808953135,1.070681501434849,1.4753205892740937,15.721808186454956,0.3707865168539326,1.211057010734486,-0.2718999322595864,1.0753196189577185,0.056284801299306304,-0.10114104119713475,-0.12159667703395557,1.069643306202428,-0.1452132949905962,0.2549647996592883,-0.13612973934012676,0.7603147977325044,3.5777643090761635,0.17733189426358198,0.2261682242990654,1,-0.786946103603495,-1.6708638148656259,pos_skew,watch
0x68d017f8c75d22af6a48aa6f2f697c658ec15599,173,172,178,0.9664804469273743,168843.78805616184,178367.427458,6,1.0,-0.09320622529337087,-0.18178278096102263,1.1778832747123664,1.9142590370453685,-0.43043381005996084,0.5232558139534884,1.1762261898628301,-0.42232458675980794,2.272689846764223,0.11895802344242813,-0.16158812740330966,-0.24449940313192123,1.4145280881672988,-0.34171740049809657,0.2989636104121275,-0.08172384655381322,0.05546119731762227,0.5381170935958917,0.21577545203291876,0.22429906542056072,1,-0.7713911626302156,-0.19355477214210565,pos_skew,watch
0x6979dde2781dc4ec843641b10b2a2f2e0f4bda62,91,90,96,0.9381443298969072,470529.25761738466,735346.130174,7,1.0,9.780703384464188,8436.432617996366,3.158765809397913,6.468146438797797,20794.146861921632,0.5333333333333333,1.6255273184752526,-0.4057118896974424,2.7655028927250496,0.14475303720447286,-0.1728917669641166,-0.21558816426994176,1.4336417361631908,-0.32879660818683276,0.7866650460372052,0.03410196220197353,1.589260327838521,7.649013914120511,0.1536592252341046,0.7224299065420561,1,0.026300302153049175,-0.5488717854572017,pos_skew,core
0x697c8c14cc04181b26d227c2e97241e3b1e61207,62,61,61,1.0,42537.6505232258,40661.342494,1,1.0,0.7835476058885151,30.885175656464163,4.3132576313955475,8.148463871211952,109.0484990801111,0.4918032786885246,3.375084536558152,-0.28322421598645536,1.730926338967851,0.09060082540572706,-0.044422866827609965,-0.10136323337159181,2.680365288972304,-0.1433297350163682,0.6040893179515796,-0.382457349099288,4.568015346944003,29.2474771751057,0.20169215384204536,0.7373831775700934,1,-0.0503780806828283,-0.8841920460386979,pos_skew,core
0x69b05701f8175c276ecd0138387a197948e240bb,173,172,178,0.9664804469273743,531603.9818156128,231951.663228,6,1.0,-0.040032193545233116,-0.08036349391803344,0.7661550860354599,1.0892803694919406,-0.23001053847294703,0.47093023255813954,1.137367099836839,-0.3493904864167147,0.6528204378416462,0.03417018343221353,-0.04428489657637472,-0.07556143670132442,1.2280790498460545,-0.13994975798535234,0.1567828278302655,-0.07898487385772125,0.5922638888308237,5.547765189780726,0.1745386415179898,0.18411214953271027,1,-0.9534340040041209,-0.8189583692634516,pos_skew,watch
0x6d6a4b953f202f8df5bed40692e7fd865318264a,179,178,178,1.0,407899.95531007263,372924.389989,1,1.0,0.3316618051453543,0.79919182159592,1.2548506030776807,2.0816869570071046,4.009110513357508,0.47752808988764045,1.233317696958157,-0.19934392402833043,0.5168438098888466,0.02705284143384908,-0.03276671025299867,-0.053955281156581485,1.3699843154711344,-0.0944149056963683,0.14055571130146424,-0.1781230014909658,1.2496573816238379,7.125368144899197,0.13163346302701082,0.3338785046728972,1,-0.9717292019416202,-1.4330078544866656,pos_skew,watch
0x6dcade414ac7baeeae0ab8a0298728e521c7ddf5,173,172,178,0.9664804469273743,152605.44709765317,326429.611709,6,1.0,-0.24498161348645262,-0.43798957839884134,1.617436923343459,2.891096214683239,-1.0417205390290538,0.5116279069767442,1.2547914304537078,-0.42044825074397973,2.6049639832545446,0.13635004663213215,-0.17956101717807044,-0.2459183039230567,1.473756978316121,-0.3757072189184022,0.41028471251705223,-0.02073042935197587,0.40657811948442324,0.5341900131456003,0.1930268659020323,0.3257009345794392,1,-0.4567020068111274,-0.4289355355335399,pos_skew,watch
